Frequency(Hz),Impedance
6.23E+05,2.867141727
6.25E+05,2.865224706
6.28E+05,2.863336178
6.30E+05,2.861432346
6.33E+05,2.859533293
6.35E+05,2.857636191
6.38E+05,2.855772524
6.40E+05,2.853899837
6.43E+05,2.852032953
6.45E+05,2.850162252
6.48E+05,2.848306085
6.50E+05,2.84646109
6.53E+05,2.844608359
6.55E+05,2.842768316
6.58E+05,2.840937672
6.60E+05,2.839118211
6.63E+05,2.83729114
6.65E+05,2.835464191
6.68E+05,2.833649878
6.70E+05,2.831842949
6.73E+05,2.830048542
6.75E+05,2.82823979
6.78E+05,2.826457402
6.80E+05,2.82466541
6.83E+05,2.822894678
6.85E+05,2.821114915
6.88E+05,2.819331778
6.90E+05,2.817578824
6.93E+05,2.815807024
6.95E+05,2.814051851
6.98E+05,2.812287143
7.00E+05,2.810551159
7.03E+05,2.80880939
7.05E+05,2.807077485
7.08E+05,2.805350655
7.10E+05,2.803600454
7.13E+05,2.801876682
7.15E+05,2.800155967
7.18E+05,2.798454397
7.20E+05,2.796731782
7.23E+05,2.795036968
7.25E+05,2.7933265
7.28E+05,2.79163282
7.30E+05,2.789927629
7.33E+05,2.788247228
7.35E+05,2.786559076
7.38E+05,2.78488463
7.40E+05,2.783214971
7.43E+05,2.781529264
7.45E+05,2.779859714
7.48E+05,2.778195141
7.50E+05,2.776538516
7.53E+05,2.774887105
7.55E+05,2.773232457
7.58E+05,2.771578498
7.60E+05,2.769941535
7.63E+05,2.768305162
7.65E+05,2.766658927
7.68E+05,2.765019269
7.70E+05,2.763397453
7.73E+05,2.761778076
7.75E+05,2.760149931
7.78E+05,2.758526414
7.80E+05,2.756915255
7.83E+05,2.75530221
7.85E+05,2.753695545
7.88E+05,2.752102347
7.90E+05,2.750488449
7.93E+05,2.748897102
7.95E+05,2.747304299
7.98E+05,2.745719423
8.00E+05,2.744168474
8.03E+05,2.742521451
8.05E+05,2.740987093
8.08E+05,2.739346512
8.10E+05,2.737838735
8.13E+05,2.736244875
8.15E+05,2.734691483
8.18E+05,2.733086466
8.20E+05,2.73156066
8.23E+05,2.729980045
8.25E+05,2.728421824
8.28E+05,2.726872918
8.30E+05,2.725340429
8.33E+05,2.723783043
8.35E+05,2.72224468
8.38E+05,2.720728553
8.40E+05,2.719164971
8.43E+05,2.71766675
8.45E+05,2.716139706
8.48E+05,2.714596657
8.50E+05,2.713076857
8.53E+05,2.711554626
8.55E+05,2.710052251
8.58E+05,2.708474867
8.60E+05,2.706981439
8.63E+05,2.705483987
8.65E+05,2.703953074
8.68E+05,2.702405186
8.70E+05,2.701004013
8.73E+05,2.69949596
8.75E+05,2.698025638
8.78E+05,2.696491083
8.80E+05,2.695009837
8.83E+05,2.693484014
8.85E+05,2.692041958
8.88E+05,2.690529034
8.90E+05,2.689126111
8.93E+05,2.687563776
8.95E+05,2.686089722
8.98E+05,2.684636342
9.00E+05,2.683177197
9.03E+05,2.681741157
9.05E+05,2.680228393
9.08E+05,2.678784052
9.10E+05,2.677296
9.13E+05,2.675859051
9.15E+05,2.674383983
9.18E+05,2.672933139
9.20E+05,2.671504402
9.23E+05,2.670026658
9.25E+05,2.668613327
9.28E+05,2.667196902
9.30E+05,2.665644684
9.33E+05,2.664245848
9.35E+05,2.662794076
9.38E+05,2.661360653
9.40E+05,2.659991549
9.43E+05,2.658509502
9.45E+05,2.657112782
9.48E+05,2.655643063
9.50E+05,2.654258699
9.53E+05,2.652828847
9.55E+05,2.65140996
9.58E+05,2.649922011
9.60E+05,2.64855919
9.63E+05,2.647140658
9.65E+05,2.645743172
9.68E+05,2.644282889
9.70E+05,2.642884308
9.73E+05,2.641521374
9.75E+05,2.640088713
9.78E+05,2.638673032
9.80E+05,2.637327161
9.83E+05,2.635916876
9.85E+05,2.634480616
9.88E+05,2.633087934
9.90E+05,2.631674517
9.93E+05,2.630331386
9.95E+05,2.628917463
9.98E+05,2.627498629
1.00E+06,2.626116799
1.00E+06,2.624693499
1.01E+06,2.623351403
1.01E+06,2.622015742
1.01E+06,2.620597969
1.01E+06,2.619236738
1.02E+06,2.617836552
1.02E+06,2.616449377
1.02E+06,2.6150909
1.02E+06,2.61369609
1.03E+06,2.612340826
1.03E+06,2.610999831
1.03E+06,2.609626754
1.03E+06,2.608239793
1.04E+06,2.606915223
1.04E+06,2.605517266
1.04E+06,2.60420861
1.04E+06,2.602831405
1.05E+06,2.601480646
1.05E+06,2.6001111
1.05E+06,2.598748652
1.05E+06,2.597382473
1.06E+06,2.596023617
1.06E+06,2.594672563
1.06E+06,2.593310436
1.06E+06,2.592038175
1.07E+06,2.590634955
1.07E+06,2.589282744
1.07E+06,2.587970214
1.07E+06,2.586598173
1.08E+06,2.58525605
1.08E+06,2.58389927
1.08E+06,2.582577492
1.08E+06,2.581254858
1.09E+06,2.579888415
1.09E+06,2.578577591
1.09E+06,2.577262564
1.09E+06,2.57592259
1.10E+06,2.574560251
1.10E+06,2.573244356
1.10E+06,2.57190575
1.10E+06,2.570593427
1.11E+06,2.569274591
1.11E+06,2.567952673
1.11E+06,2.566631399
1.11E+06,2.565281733
1.12E+06,2.563988033
1.12E+06,2.562652532
1.12E+06,2.561315516
1.12E+06,2.560007871
1.13E+06,2.558699724
1.13E+06,2.557356269
1.13E+06,2.556034661
1.13E+06,2.554755686
1.14E+06,2.553403959
1.14E+06,2.552100678
1.14E+06,2.550774857
1.14E+06,2.549473623
1.15E+06,2.548159121
