Frequency(Hz),Impedance
6.23E+05,2.866882288
6.25E+05,2.864970779
6.28E+05,2.863088467
6.30E+05,2.861182136
6.33E+05,2.859290591
6.35E+05,2.857409746
6.38E+05,2.855522422
6.40E+05,2.853646591
6.43E+05,2.851777476
6.45E+05,2.849924896
6.48E+05,2.84805829
6.50E+05,2.846214938
6.53E+05,2.844373116
6.55E+05,2.84252554
6.58E+05,2.84068508
6.60E+05,2.838861287
6.63E+05,2.837028159
6.65E+05,2.835203578
6.68E+05,2.833397852
6.70E+05,2.831596457
6.73E+05,2.829792678
6.75E+05,2.827999051
6.78E+05,2.82620522
6.80E+05,2.824415801
6.83E+05,2.822634805
6.85E+05,2.820865607
6.88E+05,2.819084858
6.90E+05,2.817313876
6.93E+05,2.815576892
6.95E+05,2.813791973
6.98E+05,2.81204211
7.00E+05,2.810293576
7.03E+05,2.808534753
7.05E+05,2.806816806
7.08E+05,2.805085968
7.10E+05,2.803342905
7.13E+05,2.80163288
7.15E+05,2.799898511
7.18E+05,2.798183621
7.20E+05,2.796466859
7.23E+05,2.794775911
7.25E+05,2.793054232
7.28E+05,2.791370275
7.30E+05,2.789669631
7.33E+05,2.787986078
7.35E+05,2.786295692
7.38E+05,2.784613224
7.40E+05,2.782933895
7.43E+05,2.781270586
7.45E+05,2.779607136
7.48E+05,2.777938731
7.50E+05,2.776280756
7.53E+05,2.774622043
7.55E+05,2.772958899
7.58E+05,2.771315967
7.60E+05,2.769658087
7.63E+05,2.768024959
7.65E+05,2.766394181
7.68E+05,2.764754066
7.70E+05,2.763127072
7.73E+05,2.761508203
7.75E+05,2.759874889
7.78E+05,2.758257531
7.80E+05,2.756636632
7.83E+05,2.755038714
7.85E+05,2.753419325
7.88E+05,2.751815278
7.90E+05,2.750217702
7.93E+05,2.748619529
7.95E+05,2.747028352
7.98E+05,2.745431342
8.00E+05,2.743806737
8.03E+05,2.742239096
8.05E+05,2.740688105
8.08E+05,2.739130052
8.10E+05,2.737508015
8.13E+05,2.736038325
8.15E+05,2.734357957
8.18E+05,2.732830276
8.20E+05,2.731242633
8.23E+05,2.729697254
8.25E+05,2.728180657
8.28E+05,2.726612833
8.30E+05,2.725009356
8.33E+05,2.7234823
8.35E+05,2.721956132
8.38E+05,2.720464775
8.40E+05,2.718886513
8.43E+05,2.717297016
8.45E+05,2.71582898
8.48E+05,2.714305932
8.50E+05,2.712763763
8.53E+05,2.711271724
8.55E+05,2.70971796
8.58E+05,2.708186332
8.60E+05,2.706697869
8.63E+05,2.70519524
8.65E+05,2.703659422
8.68E+05,2.702165123
8.70E+05,2.70068895
8.73E+05,2.699151823
8.75E+05,2.697709646
8.78E+05,2.696238779
8.80E+05,2.694703632
8.83E+05,2.69322472
8.85E+05,2.691714608
8.88E+05,2.690250862
8.90E+05,2.688734388
