Frequency(Hz),Impedance
6.23E+05,2.861899518
6.25E+05,2.859985792
6.28E+05,2.858068749
6.30E+05,2.856181844
6.33E+05,2.854278482
6.35E+05,2.852404534
6.38E+05,2.850527423
6.40E+05,2.848653808
6.43E+05,2.846802421
6.45E+05,2.844913848
6.48E+05,2.843073136
6.50E+05,2.841235045
6.53E+05,2.839373653
6.55E+05,2.837539445
6.58E+05,2.835707535
6.60E+05,2.833874693
6.63E+05,2.832054261
6.65E+05,2.830229737
6.68E+05,2.828413349
6.70E+05,2.826624534
6.73E+05,2.824812941
6.75E+05,2.823015357
6.78E+05,2.821220148
6.80E+05,2.819427202
6.83E+05,2.817667135
6.85E+05,2.815873108
6.88E+05,2.814109853
6.90E+05,2.812343604
6.93E+05,2.810578124
6.95E+05,2.808818024
6.98E+05,2.807078691
7.00E+05,2.805296765
7.03E+05,2.803593123
7.05E+05,2.8018618
7.08E+05,2.800132657
7.10E+05,2.798401787
7.13E+05,2.796672331
7.15E+05,2.794951796
7.18E+05,2.793241633
7.20E+05,2.791533803
7.23E+05,2.789832668
7.25E+05,2.78811926
7.28E+05,2.78643315
7.30E+05,2.78476312
7.33E+05,2.783040614
7.35E+05,2.781384947
7.38E+05,2.779693506
7.40E+05,2.778011655
7.43E+05,2.776329916
7.45E+05,2.77467619
7.48E+05,2.773012706
7.50E+05,2.771355396
7.53E+05,2.769700568
7.55E+05,2.768056753
7.58E+05,2.766411194
7.60E+05,2.764753665
7.63E+05,2.763119321
7.65E+05,2.761486875
7.68E+05,2.75986236
7.70E+05,2.75823084
7.73E+05,2.756597477
7.75E+05,2.754986269
7.78E+05,2.753377383
7.80E+05,2.75176426
7.83E+05,2.750151157
7.85E+05,2.748534205
7.88E+05,2.746944821
7.90E+05,2.745341302
7.93E+05,2.743793799
7.95E+05,2.742177485
7.98E+05,2.740556074
8.00E+05,2.73901695
8.03E+05,2.737403874
8.05E+05,2.735869196
8.08E+05,2.734257821
8.10E+05,2.73265222
8.13E+05,2.73107482
8.15E+05,2.729538168
8.18E+05,2.727988803
8.20E+05,2.72637289
8.23E+05,2.724878981
8.25E+05,2.723325062
8.28E+05,2.721788081
8.30E+05,2.720218378
8.33E+05,2.718677411
8.35E+05,2.717173849
8.38E+05,2.715591096
8.40E+05,2.714087469
8.43E+05,2.712563602
8.45E+05,2.711004599
8.48E+05,2.709524444
8.50E+05,2.707977102
8.53E+05,2.70643075
8.55E+05,2.704832896
8.58E+05,2.703389794
8.60E+05,2.701949161
8.63E+05,2.700435946
8.65E+05,2.698871233
8.68E+05,2.697383469
8.70E+05,2.695907435
8.73E+05,2.694420163
8.75E+05,2.692872693
8.78E+05,2.691458192
8.80E+05,2.689941939
8.83E+05,2.688431616
8.85E+05,2.686944454
8.88E+05,2.685488624
8.90E+05,2.684007415
8.93E+05,2.682561992
8.95E+05,2.681046652
8.98E+05,2.679558523
9.00E+05,2.678090954
9.03E+05,2.676626503
9.05E+05,2.675157588
9.08E+05,2.67369598
9.10E+05,2.672267587
9.13E+05,2.670821223
9.15E+05,2.669338379
9.18E+05,2.66792364
9.20E+05,2.666448136
9.23E+05,2.664993558
9.25E+05,2.663559552
9.28E+05,2.662138389
9.30E+05,2.660685375
9.33E+05,2.659224645
9.35E+05,2.657810758
9.38E+05,2.656347355
9.40E+05,2.65489193
9.43E+05,2.653491344
9.45E+05,2.652032925
9.48E+05,2.650645987
9.50E+05,2.649252405
9.53E+05,2.647850038
9.55E+05,2.646390484
9.58E+05,2.64498998
9.60E+05,2.643559341
9.63E+05,2.642166533
9.65E+05,2.640698037
9.68E+05,2.639357662
9.70E+05,2.637938905
9.73E+05,2.636556881
9.75E+05,2.635099224
9.78E+05,2.633706648
9.80E+05,2.63234473
9.83E+05,2.630883032
9.85E+05,2.6295071
9.88E+05,2.628154663
9.90E+05,2.626676802
9.93E+05,2.625327642
9.95E+05,2.623957776
9.98E+05,2.622554536
1.00E+06,2.621178096
1.00E+06,2.619833359
1.01E+06,2.61843144
1.01E+06,2.617023734
1.01E+06,2.615653231
1.01E+06,2.614276356
1.02E+06,2.612940482
1.02E+06,2.61155763
1.02E+06,2.610157497
1.02E+06,2.608808825
1.03E+06,2.607406053
1.03E+06,2.606071707
1.03E+06,2.604701576
1.03E+06,2.603311225
1.04E+06,2.60197477
1.04E+06,2.60060079
1.04E+06,2.599273961
1.04E+06,2.59790665
1.05E+06,2.596531944
1.05E+06,2.595199235
1.05E+06,2.593870704
1.05E+06,2.592508717
1.06E+06,2.591150553
1.06E+06,2.589772598
1.06E+06,2.588468611
1.06E+06,2.587110033
1.07E+06,2.585781286
1.07E+06,2.584434154
1.07E+06,2.58308202
1.07E+06,2.581743006
1.08E+06,2.580378496
1.08E+06,2.579066968
1.08E+06,2.577715995
1.08E+06,2.576381652
1.09E+06,2.575049474
1.09E+06,2.573745286
1.09E+06,2.572413335
1.09E+06,2.571061529
1.10E+06,2.569715209
1.10E+06,2.568401391
1.10E+06,2.567059971
1.10E+06,2.565746772
1.11E+06,2.564418633
1.11E+06,2.563099256
1.11E+06,2.561769572
1.11E+06,2.560454142
1.12E+06,2.559126886
1.12E+06,2.557842058
1.12E+06,2.55651126
1.12E+06,2.555193595
1.13E+06,2.553866135
1.13E+06,2.552556342
1.13E+06,2.55124126
1.13E+06,2.549948135
1.14E+06,2.548633323
1.14E+06,2.547279995
1.14E+06,2.54601679
1.14E+06,2.544696513
1.15E+06,2.543386257
1.15E+06,2.542054553
1.15E+06,2.540759444
1.15E+06,2.539494523
1.16E+06,2.53816854
1.16E+06,2.53686035
1.16E+06,2.535586684
1.16E+06,2.534259717
1.17E+06,2.532970549
1.17E+06,2.531661005
1.17E+06,2.530404026
1.17E+06,2.52908252
1.18E+06,2.527788153
1.18E+06,2.526502581
1.18E+06,2.525208487
1.18E+06,2.523896941
1.19E+06,2.522569186
1.19E+06,2.521325804
1.19E+06,2.520019907
1.19E+06,2.518720975
1.20E+06,2.517416809
1.20E+06,2.516134475
1.20E+06,2.514839882
1.20E+06,2.513582159
1.21E+06,2.512269567
1.21E+06,2.511004031
1.21E+06,2.509689261
1.21E+06,2.508396833
1.22E+06,2.507104901
1.22E+06,2.505850066
1.22E+06,2.504571627
1.22E+06,2.503268216
1.23E+06,2.502017379
1.23E+06,2.50073443
1.23E+06,2.499434849
1.23E+06,2.498147775
1.24E+06,2.496888136
1.24E+06,2.495617421
1.24E+06,2.494326688
1.24E+06,2.493063059
1.25E+06,2.491757743
1.25E+06,2.490506643
1.25E+06,2.489241544
1.25E+06,2.487952941
1.26E+06,2.486670379
1.26E+06,2.485385613
1.26E+06,2.484129941
1.26E+06,2.482795225
1.27E+06,2.481589264
1.27E+06,2.4802992
1.27E+06,2.479048299
1.27E+06,2.477775951
1.28E+06,2.476483913
1.28E+06,2.475199891
1.28E+06,2.473942625
1.28E+06,2.472672467
1.29E+06,2.471385721
1.29E+06,2.470136559
1.29E+06,2.468815016
1.29E+06,2.467579882
1.30E+06,2.466344166
1.30E+06,2.465069685
1.30E+06,2.463789197
1.30E+06,2.462538184
1.31E+06,2.461231475
1.31E+06,2.45997867
1.31E+06,2.458683795
1.31E+06,2.457431209
1.32E+06,2.456194638
1.32E+06,2.454918564
1.32E+06,2.45362165
1.32E+06,2.452366484
1.33E+06,2.451095723
1.33E+06,2.449895843
1.33E+06,2.44860091
1.33E+06,2.447323217
1.34E+06,2.446029783
1.34E+06,2.444793765
1.34E+06,2.443514572
1.34E+06,2.442249622
1.35E+06,2.440992047
1.35E+06,2.439739732
1.35E+06,2.438499625
1.35E+06,2.437209692
1.36E+06,2.435921549
1.36E+06,2.434699054
1.36E+06,2.433409615
1.36E+06,2.432140216
1.37E+06,2.430877773
1.37E+06,2.429629145
1.37E+06,2.428366626
1.37E+06,2.427087815
1.38E+06,2.425804321
1.38E+06,2.424568044
1.38E+06,2.423301855
1.38E+06,2.422055167
1.39E+06,2.42077541
1.39E+06,2.419519774
1.39E+06,2.418231865
1.39E+06,2.416981002
1.40E+06,2.415707261
1.40E+06,2.414466089
1.40E+06,2.413206292
1.40E+06,2.411931284
1.41E+06,2.410666373
1.41E+06,2.409406679
1.41E+06,2.408146463
1.41E+06,2.406866967
1.42E+06,2.405619789
1.42E+06,2.404338491
1.42E+06,2.403094875
1.42E+06,2.401801096
1.43E+06,2.400564745
1.43E+06,2.399296971
1.43E+06,2.398033236
1.43E+06,2.396742658
1.44E+06,2.395484763
1.44E+06,2.394220815
1.44E+06,2.392970132
1.44E+06,2.391695846
1.45E+06,2.390420481
1.45E+06,2.389151936
1.45E+06,2.387858254
1.45E+06,2.386618073
1.46E+06,2.385332975
1.46E+06,2.384074011
1.46E+06,2.382817116
1.46E+06,2.38154905
1.47E+06,2.380286527
1.47E+06,2.378991893
1.47E+06,2.377708902
1.47E+06,2.376473426
1.48E+06,2.37521693
1.48E+06,2.373945739
1.48E+06,2.372663821
1.48E+06,2.371396511
1.49E+06,2.370113034
1.49E+06,2.368855984
1.49E+06,2.367571306
1.49E+06,2.366307841
1.50E+06,2.36502254
1.50E+06,2.363730137
1.50E+06,2.362483846
1.50E+06,2.361199311
1.51E+06,2.359899779
1.51E+06,2.358628265
1.51E+06,2.35733357
1.51E+06,2.356072481
1.52E+06,2.354805198
1.52E+06,2.353515806
1.52E+06,2.352261749
1.52E+06,2.350975855
1.53E+06,2.349681255
1.53E+06,2.34836574
1.53E+06,2.34713421
1.53E+06,2.345815895
1.54E+06,2.344569837
1.54E+06,2.343272086
1.54E+06,2.341986749
1.54E+06,2.340718889
1.55E+06,2.339424379
1.55E+06,2.338111457
1.55E+06,2.336832451
1.55E+06,2.335558658
1.56E+06,2.334284271
1.56E+06,2.332984329
1.56E+06,2.331692768
1.56E+06,2.33041173
1.57E+06,2.329107762
1.57E+06,2.327826774
1.57E+06,2.326525078
1.57E+06,2.325257554
1.58E+06,2.323959867
1.58E+06,2.322649815
1.58E+06,2.321366301
1.58E+06,2.32006181
1.59E+06,2.318780547
1.59E+06,2.317466187
1.59E+06,2.316162317
1.59E+06,2.314854621
1.60E+06,2.313578966
1.60E+06,2.312294819
1.60E+06,2.310975925
1.60E+06,2.309675795
1.61E+06,2.308366503
1.61E+06,2.307058747
1.61E+06,2.305763267
1.61E+06,2.304448506
1.62E+06,2.30314144
1.62E+06,2.301832049
1.62E+06,2.300526554
1.62E+06,2.299219087
1.63E+06,2.297912283
1.63E+06,2.296606901
1.63E+06,2.295259361
1.63E+06,2.293940897
1.64E+06,2.29267265
1.64E+06,2.291319839
1.64E+06,2.290026481
1.64E+06,2.288691094
1.65E+06,2.2873864
1.65E+06,2.286043121
1.65E+06,2.284752684
1.65E+06,2.283417053
1.66E+06,2.282080464
1.66E+06,2.280776458
1.66E+06,2.279441125
1.66E+06,2.278116676
1.67E+06,2.27677548
1.67E+06,2.2754472
1.67E+06,2.274138278
1.67E+06,2.272798125
1.68E+06,2.271471351
1.68E+06,2.270108729
1.68E+06,2.268793843
1.68E+06,2.267438369
1.69E+06,2.266114531
1.69E+06,2.264784204
1.69E+06,2.263432076
1.69E+06,2.26208771
1.70E+06,2.260754926
1.70E+06,2.259427738
1.70E+06,2.258046369
1.70E+06,2.256715997
1.71E+06,2.25535776
1.71E+06,2.253998517
1.71E+06,2.252651364
1.71E+06,2.251296868
1.72E+06,2.249936729
1.72E+06,2.24859737
1.72E+06,2.247217161
1.72E+06,2.245866548
1.73E+06,2.244514096
1.73E+06,2.243144711
1.73E+06,2.241805408
1.73E+06,2.24042156
1.74E+06,2.239057571
1.74E+06,2.237680738
1.74E+06,2.236328105
1.74E+06,2.234968147
1.75E+06,2.233565158
1.75E+06,2.232207486
1.75E+06,2.230853857
1.75E+06,2.229442835
1.76E+06,2.228085846
1.76E+06,2.226702604
1.76E+06,2.225332915
1.76E+06,2.223902715
1.77E+06,2.222530438
1.77E+06,2.221158568
1.77E+06,2.219769382
1.77E+06,2.218389597
1.78E+06,2.21697739
1.78E+06,2.215557713
1.78E+06,2.214210485
1.78E+06,2.212794107
1.79E+06,2.211414248
1.79E+06,2.21000373
1.79E+06,2.20860451
1.79E+06,2.207206301
1.80E+06,2.205791772
1.80E+06,2.204376699
1.80E+06,2.202988988
1.80E+06,2.201531238
1.81E+06,2.200145893
1.81E+06,2.198714417
1.81E+06,2.197288952
1.81E+06,2.195886361
1.82E+06,2.194433858
1.82E+06,2.193015071
1.82E+06,2.191612117
1.82E+06,2.190165304
1.83E+06,2.188760768
1.83E+06,2.187324282
1.83E+06,2.185882067
1.83E+06,2.184452181
1.84E+06,2.18300023
1.84E+06,2.181531371
1.84E+06,2.180142861
1.84E+06,2.178669559
1.85E+06,2.177229251
1.85E+06,2.175797786
1.85E+06,2.174323261
1.85E+06,2.17289237
1.86E+06,2.171409057
1.86E+06,2.169954373
1.86E+06,2.168515203
1.86E+06,2.167031121
1.87E+06,2.165572667
1.87E+06,2.164079077
1.87E+06,2.162603509
1.87E+06,2.16118527
1.88E+06,2.159647245
1.88E+06,2.158189852
1.88E+06,2.156736894
1.88E+06,2.155249263
1.89E+06,2.153752115
1.89E+06,2.152271213
1.89E+06,2.150760476
1.89E+06,2.149310737
1.90E+06,2.147798207
1.90E+06,2.146303012
1.90E+06,2.144798127
1.90E+06,2.143268388
1.91E+06,2.141798204
1.91E+06,2.140269856
1.91E+06,2.138768114
1.91E+06,2.137280813
1.92E+06,2.135725175
1.92E+06,2.134212925
1.92E+06,2.132714203
1.92E+06,2.131166901
1.93E+06,2.129657541
1.93E+06,2.128113704
1.93E+06,2.126561611
1.93E+06,2.125091372
1.94E+06,2.123498246
1.94E+06,2.121959116
1.94E+06,2.120439642
1.94E+06,2.118864652
1.95E+06,2.11734423
1.95E+06,2.11578329
1.95E+06,2.114197547
1.95E+06,2.112686483
1.96E+06,2.111100562
1.96E+06,2.109526042
1.96E+06,2.10799529
1.96E+06,2.106403185
1.97E+06,2.104848378
1.97E+06,2.103237274
1.97E+06,2.101658318
1.97E+06,2.100115392
1.98E+06,2.098495438
1.98E+06,2.096913022
1.98E+06,2.095329706
1.98E+06,2.093712623
1.99E+06,2.092097303
1.99E+06,2.090510694
1.99E+06,2.088900466
1.99E+06,2.087319344
2.00E+06,2.085687014
2.00E+06,2.084057721
2.00E+06,2.082481535
2.00E+06,2.080808238
2.01E+06,2.079190069
2.01E+06,2.077570448
2.01E+06,2.075911421
2.01E+06,2.074298496
2.02E+06,2.0726228
2.02E+06,2.070992195
2.02E+06,2.06935572
2.02E+06,2.067696245
2.03E+06,2.066021113
2.03E+06,2.064367135
2.03E+06,2.062703915
2.03E+06,2.061056212
2.04E+06,2.059386944
2.04E+06,2.057678266
2.04E+06,2.056029197
2.04E+06,2.054334727
2.05E+06,2.052644417
2.05E+06,2.050958745
2.05E+06,2.049261888
2.05E+06,2.047553684
2.06E+06,2.045866937
2.06E+06,2.044170835
2.06E+06,2.042449118
2.06E+06,2.040723361
2.07E+06,2.038994265
2.07E+06,2.037281945
2.07E+06,2.03553892
2.07E+06,2.033824566
2.08E+06,2.032062863
2.08E+06,2.030341626
2.08E+06,2.028591183
2.08E+06,2.026853498
2.09E+06,2.025073566
2.09E+06,2.023325808
2.09E+06,2.021561936
2.09E+06,2.019791705
2.10E+06,2.01802734
2.10E+06,2.016249195
2.10E+06,2.014459404
2.10E+06,2.012662551
2.11E+06,2.010873345
2.11E+06,2.009064472
2.11E+06,2.007277076
2.11E+06,2.00547084
2.12E+06,2.003637787
2.12E+06,2.001836694
2.12E+06,2.000003527
2.12E+06,1.99819127
2.13E+06,1.996347519
2.13E+06,1.994497922
2.13E+06,1.992671998
2.13E+06,1.990820323
2.14E+06,1.988963978
2.14E+06,1.987103048
2.14E+06,1.985232132
2.14E+06,1.983347469
2.15E+06,1.981485026
2.15E+06,1.979592494
2.15E+06,1.977714852
2.15E+06,1.975837305
2.16E+06,1.973928849
2.16E+06,1.972035811
2.16E+06,1.97009932
2.16E+06,1.968191882
2.17E+06,1.966294983
2.17E+06,1.964347169
2.17E+06,1.962415603
2.17E+06,1.960481831
2.18E+06,1.95853799
2.18E+06,1.956585626
2.18E+06,1.954619492
2.18E+06,1.952645525
2.19E+06,1.950686742
2.19E+06,1.948721339
2.19E+06,1.946736607
2.19E+06,1.944758934
2.20E+06,1.942740784
2.20E+06,1.940734931
2.20E+06,1.938728202
2.20E+06,1.936717145
2.21E+06,1.934692213
2.21E+06,1.932658718
2.21E+06,1.930622004
2.21E+06,1.928572711
2.22E+06,1.926527536
2.22E+06,1.924460497
2.22E+06,1.922403729
2.22E+06,1.920326491
2.23E+06,1.918253886
2.23E+06,1.916148723
2.23E+06,1.914080486
2.23E+06,1.911941589
2.24E+06,1.909852491
2.24E+06,1.907741304
2.24E+06,1.905622185
2.24E+06,1.903487792
2.25E+06,1.901337144
2.25E+06,1.899188496
2.25E+06,1.897014566
2.25E+06,1.894863805
2.26E+06,1.89270517
2.26E+06,1.890511331
2.26E+06,1.888340913
2.26E+06,1.886128318
2.27E+06,1.883918792
2.27E+06,1.881712238
2.27E+06,1.879473413
2.27E+06,1.877252079
2.28E+06,1.87502622
2.28E+06,1.872761879
2.28E+06,1.870479283
2.28E+06,1.868246973
2.29E+06,1.86594073
2.29E+06,1.863661246
2.29E+06,1.86136635
2.29E+06,1.859041992
2.30E+06,1.856744615
2.30E+06,1.854426754
2.30E+06,1.852096655
2.30E+06,1.849758346
2.31E+06,1.847401356
2.31E+06,1.845012555
2.31E+06,1.842647844
2.31E+06,1.840256286
2.32E+06,1.837883225
2.32E+06,1.835466233
2.32E+06,1.833043695
2.32E+06,1.830622298
2.33E+06,1.828185266
2.33E+06,1.825715213
2.33E+06,1.823295641
2.33E+06,1.820793316
2.34E+06,1.81831173
2.34E+06,1.815844879
2.34E+06,1.813318869
2.34E+06,1.810815541
2.35E+06,1.808287721
2.35E+06,1.805728246
2.35E+06,1.803211819
2.35E+06,1.800634955
2.36E+06,1.798041049
2.36E+06,1.7954733
2.36E+06,1.792842738
2.36E+06,1.790237327
2.37E+06,1.787625115
2.37E+06,1.784969383
2.37E+06,1.782325511
2.37E+06,1.77966038
2.38E+06,1.77697179
2.38E+06,1.774283339
2.38E+06,1.771574033
2.38E+06,1.768847454
2.39E+06,1.766120449
2.39E+06,1.763379007
2.39E+06,1.760579998
2.39E+06,1.757833854
2.40E+06,1.75503059
2.40E+06,1.752226266
2.40E+06,1.74938801
2.40E+06,1.746550488
2.41E+06,1.743698775
2.41E+06,1.740845032
2.41E+06,1.737927779
2.41E+06,1.735036585
2.42E+06,1.732124344
2.42E+06,1.729191623
2.42E+06,1.726246717
2.42E+06,1.72326467
2.43E+06,1.720267695
2.43E+06,1.71725386
2.43E+06,1.714230138
2.43E+06,1.711217648
2.44E+06,1.708149075
2.44E+06,1.705072888
2.44E+06,1.701963944
2.44E+06,1.698839272
2.45E+06,1.695713232
2.45E+06,1.692559841
2.45E+06,1.689393789
2.45E+06,1.686213699
2.46E+06,1.682975748
2.46E+06,1.679743888
2.46E+06,1.676501177
2.46E+06,1.673229938
2.47E+06,1.669923097
2.47E+06,1.666600649
2.47E+06,1.663249441
2.47E+06,1.65991068
2.48E+06,1.656527778
2.48E+06,1.653085969
2.48E+06,1.649664432
2.48E+06,1.646200821
2.49E+06,1.642710404
2.49E+06,1.639216402
2.49E+06,1.635685406
2.49E+06,1.632115357
2.50E+06,1.62853267
2.50E+06,1.624922752
2.50E+06,1.621284324
2.50E+06,1.617606895
2.51E+06,1.613947207
2.51E+06,1.610205059
2.51E+06,1.606448977
2.51E+06,1.602660688
2.52E+06,1.598878246
2.52E+06,1.595038504
2.52E+06,1.591160002
2.52E+06,1.587278614
2.53E+06,1.583377709
2.53E+06,1.579399094
2.53E+06,1.575404196
2.53E+06,1.571354058
2.54E+06,1.567289033
2.54E+06,1.563193091
2.54E+06,1.559069623
2.54E+06,1.554899583
2.55E+06,1.550705647
2.55E+06,1.546478936
2.55E+06,1.542177766
2.55E+06,1.537869013
2.56E+06,1.533495368
2.56E+06,1.529102625
2.56E+06,1.524667337
2.56E+06,1.520184897
2.57E+06,1.515680013
2.57E+06,1.511107815
2.57E+06,1.506501674
2.57E+06,1.501858106
2.58E+06,1.497158271
2.58E+06,1.492428509
2.58E+06,1.487615337
2.58E+06,1.482744708
2.59E+06,1.477888406
2.59E+06,1.472940155
2.59E+06,1.467946839
2.59E+06,1.462878626
2.60E+06,1.457772352
2.60E+06,1.452620136
2.60E+06,1.447387976
2.60E+06,1.442123436
2.61E+06,1.436782763
2.61E+06,1.431362092
2.61E+06,1.425904137
2.61E+06,1.420387679
2.62E+06,1.414791601
2.62E+06,1.409133365
2.62E+06,1.403381241
2.62E+06,1.397596657
2.63E+06,1.39172748
2.63E+06,1.385767605
2.63E+06,1.379750769
2.63E+06,1.373624173
2.64E+06,1.367437886
2.64E+06,1.361167419
2.64E+06,1.354784657
2.64E+06,1.348358915
2.65E+06,1.341807576
2.65E+06,1.335151524
2.65E+06,1.328437668
2.65E+06,1.321625633
2.66E+06,1.314690583
2.66E+06,1.307660165
2.66E+06,1.300494454
2.66E+06,1.293238427
2.67E+06,1.285836527
2.67E+06,1.27834534
2.67E+06,1.270713017
2.67E+06,1.262941206
2.68E+06,1.255061256
2.68E+06,1.247032167
2.68E+06,1.238840504
2.68E+06,1.230509619
2.69E+06,1.222022332
2.69E+06,1.213401668
2.69E+06,1.204593296
2.69E+06,1.195585321
