Time,DeliveryPower,SetPower,RFVoltage,RFCurrent,DCVoltage,DCCurrent,RFPhase,RF,QFR,RealPlasmaImpedance,ImaginaryPlasmaImpedance,RunMode,Interlock
2022/05/27 18:14:46,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:46,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:46,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:46,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:46,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:47,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:47,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:47,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:47,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:48,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:48,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:48,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:48,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:49,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:49,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:49,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:49,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:50,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:50,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:50,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:50,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:51,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:51,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:51,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:51,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:51,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:52,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:52,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:52,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:52,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:53,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:53,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:53,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:53,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:54,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:54,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:54,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:54,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:55,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:55,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:55,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:55,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:55,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:56,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:56,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:56,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:56,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:57,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:57,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:57,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:57,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:58,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:58,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:58,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:58,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:58,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:59,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:59,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:59,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:14:59,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:00,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:00,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:00,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:00,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:01,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:01,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:01,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:01,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:02,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:02,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:02,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:02,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:03,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:03,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:03,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:03,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:04,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:04,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:04,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:04,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:04,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:05,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:05,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:05,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:05,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:06,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:06,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:06,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:06,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:07,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:07,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:07,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:07,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:08,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:08,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:08,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:08,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:09,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:09,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:09,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:09,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:09,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:10,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:10,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:10,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:10,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:11,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:15:11,0,0,0,0,0,0,0,0,0,0,0,1,0
