Time,DeliveryPower,SetPower,RFVoltage,RFCurrent,DCVoltage,DCCurrent,RFPhase,RF,QFR,RealPlasmaImpedance,ImaginaryPlasmaImpedance,RunMode,Interlock
2022/05/27 18:32:56,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:32:57,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:32:57,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:32:57,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:32:57,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:32:58,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:32:58,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:32:58,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:32:58,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:32:59,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:32:59,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:32:59,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:32:59,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:00,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:00,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:00,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:00,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:00,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:01,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:01,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:01,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:01,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:02,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:02,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:02,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:02,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:03,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:03,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:03,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:03,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:04,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:04,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:04,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:04,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:04,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:05,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:05,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:05,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:06,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:06,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:06,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:06,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:07,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:07,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:07,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:07,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:08,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:08,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:08,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:08,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:09,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:09,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:09,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:09,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:10,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:10,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:10,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:10,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:10,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:11,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:11,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:11,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:12,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:12,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:12,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:12,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:13,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:13,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:13,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:13,0,0,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:14,0,1,0,0,0,0,0,0,0,0,0,1,0
2022/05/27 18:33:14,0,1,0,0,0,0,0,0,0,0,0,1,0
