,principal_component1,principal_component2,principal_component3
1653675286,-0.8463622108760579,-0.05607314867535182,0.0005281629915521664
1653675286,-0.8463622108760542,-0.05607314867533127,0.0005281629915746678
1653675286,-0.8463622108760542,-0.05607314867533118,0.0005281629915544112
1653675286,-0.8463622108760542,-0.05607314867533118,0.0005281629915562195
1653675286,-0.8471666565958136,-0.05810105285660174,0.0008065987355090266
1653675287,-0.8471666565958136,-0.05810105285660174,0.0008065987355090239
1653675287,-0.8471666565958136,-0.05810105285660174,0.0008065987355090239
1653675287,-0.8471666565958136,-0.05810105285660174,0.0008065987355090239
1653675287,-0.8471666565958136,-0.05810105285660174,0.0008065987355090239
1653675288,-0.8471666565958136,-0.05810105285660174,0.0008065987355090243
1653675288,-0.8471666565958139,-0.058101052856601665,0.0008065987355092064
1653675288,-0.8471666565958141,-0.058101052856601665,0.0008065987355092124
1653675288,-0.847166656595814,-0.05810105285660171,0.000806598735509266
1653675289,-0.8471666565958136,-0.05810105285660174,0.0008065987355090243
1653675289,-0.8471666565958136,-0.05810105285660174,0.0008065987355090243
1653675289,-0.8471666565958136,-0.05810105285660174,0.0008065987355090243
1653675289,-0.8471666565958136,-0.05810105285660174,0.0008065987355090243
1653675290,-0.8471666565958136,-0.05810105285660174,0.0008065987355090243
1653675290,-0.8471666565958136,-0.05810105285660174,0.0008065987355090243
1653675290,-0.8471666565958136,-0.05810105285660174,0.0008065987355090243
1653675290,-0.8471666565958136,-0.05810105285660174,0.0008065987355090243
1653675291,-0.8471666565958136,-0.05810105285660174,0.0008065987355090243
1653675291,-0.8471666565958136,-0.05810105285660174,0.0008065987355090243
1653675291,-0.8471666565958136,-0.05810105285660174,0.0008065987355090243
1653675291,-0.8463622108760542,-0.05607314867533118,0.0005281629915562224
1653675291,-0.8471666565958136,-0.05810105285660174,0.0008065987355090243
1653675292,-0.8471666565958136,-0.05810105285660174,0.0008065987355090243
1653675292,-0.8471666565958136,-0.05810105285660174,0.0008065987355090243
1653675292,-0.8471666565958136,-0.05810105285660174,0.0008065987355090243
1653675292,-0.8471666565958136,-0.05810105285660174,0.0008065987355090243
