,principal_component1,principal_component2,principal_component3
1653675286,-0.8463622108760595,-0.056073148675374725,0.0005281629916202107
1653675286,-0.8463622108760532,-0.05607314867533137,0.0005281629915646071
1653675286,-0.846362210876053,-0.056073148675331044,0.0005281629915561009
1653675286,-0.846362210876053,-0.056073148675331044,0.0005281629915559483
1653675286,-0.8471666565958121,-0.05810105285660168,0.0008065987355088814
1653675287,-0.8471666565958121,-0.05810105285660168,0.00080659873550888
1653675287,-0.8471666565958121,-0.05810105285660168,0.0008065987355088813
1653675287,-0.8471666565958121,-0.05810105285660168,0.0008065987355088809
1653675287,-0.8471666565958121,-0.05810105285660168,0.0008065987355088814
1653675288,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675288,-0.8471666565958025,-0.058101052856602636,0.0008065987355100802
1653675288,-0.8471666565958028,-0.05810105285660263,0.0008065987355099867
1653675288,-0.8471666565958029,-0.05810105285660263,0.0008065987355100143
1653675289,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675289,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675289,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675289,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675290,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675290,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675290,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675290,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675291,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675291,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675291,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675291,-0.846362210876053,-0.056073148675331044,0.0005281629915559489
1653675291,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675292,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675292,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675292,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675292,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675293,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675293,-0.846362210876053,-0.056073148675331044,0.0005281629915559489
1653675293,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675293,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675294,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675294,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675294,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675294,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675295,-0.846362210876053,-0.056073148675331044,0.0005281629915559489
1653675295,-0.846362210876053,-0.056073148675331044,0.0005281629915559489
1653675295,-0.846362210876053,-0.056073148675331044,0.0005281629915559489
1653675295,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675295,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675296,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675296,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675296,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675296,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675297,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675297,-0.846362210876053,-0.056073148675331044,0.0005281629915559489
1653675297,-0.846362210876053,-0.056073148675331044,0.0005281629915559489
1653675297,-0.846362210876053,-0.056073148675331044,0.0005281629915559489
1653675298,-0.846362210876053,-0.056073148675331044,0.0005281629915559489
1653675298,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675298,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675298,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675298,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675299,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675299,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675299,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675299,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675300,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675300,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675300,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675300,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675301,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675301,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675301,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675301,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675302,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675302,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675302,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675302,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675303,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675303,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675303,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675303,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675304,-0.846362210876053,-0.056073148675331044,0.0005281629915559489
1653675304,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675304,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675304,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675304,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675305,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675305,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675305,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675305,-0.846362210876053,-0.056073148675331044,0.0005281629915559489
1653675306,-0.846362210876053,-0.056073148675331044,0.0005281629915559489
1653675306,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675306,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675306,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675307,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675307,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675307,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
1653675307,-0.8471666565958121,-0.05810105285660168,0.0008065987355088822
